instance;approach;arc;arc_type;class;graph_density;link_capacity_ratio;charge_arc;prob_sharing_NFS
3;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;9;backhaul;tiny_tight_low_strong;0.1;tight;0.9074917218543047;0.1
3;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.7167257085020243;0.1
3;Heuristic;11;backhaul;tiny_tight_low_strong;0.1;tight;0.49649003623188404;0.1
3;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;15;backhaul;tiny_tight_low_strong;0.1;tight;0.9172603626943004;0.1
3;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.6090277777777777;0.1
3;Heuristic;17;fronthaul;tiny_tight_low_strong;0.1;tight;0.6630383895131087;0.1
3;Heuristic;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.5311288759689923;0.1
3;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;23;fronthaul;tiny_tight_low_strong;0.1;tight;0.903220663265306;0.1
3;Heuristic;18;fronthaul;tiny_tight_low_strong;0.1;tight;0.5132256554307116;0.1
3;Heuristic;25;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.5709635416666666;0.1
3;Heuristic;10;backhaul;tiny_tight_low_strong;0.1;tight;0.9074917218543047;0.1
3;Heuristic;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.6861676356589147;0.1
3;Heuristic;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;27;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.7345695020746887;0.1
3;Heuristic;16;backhaul;tiny_tight_low_strong;0.1;tight;0.9172603626943004;0.1
3;Heuristic;29;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;12;backhaul;tiny_tight_low_strong;0.1;tight;0.6414175724637681;0.1
3;Heuristic;24;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;26;backhaul;tiny_tight_low_strong;0.1;tight;0.8254894578313252;0.1
3;Heuristic;28;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;30;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;1;backhaul;tiny_tight_low_strong;0.1;tight;0.8243985355648537;0.1
4;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;5;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.8642399267399267;0.1
4;MILP;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.8456276824034334;0.1
4;MILP;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.6939338235294118;0.1
4;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;6;backhaul;tiny_tight_low_strong;0.1;tight;0.4274230072463768;0.1
4;MILP;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.43211996336996333;0.1
4;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.6939338235294118;0.1
4;MILP;2;backhaul;tiny_tight_low_strong;0.1;tight;0.8243985355648537;0.1
4;MILP;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;1;backhaul;tiny_tight_low_strong;0.1;tight;0.8243985355648537;0.1
4;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;5;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.43211996336996333;0.1
4;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.8456276824034334;0.1
4;Heuristic;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;6;backhaul;tiny_tight_low_strong;0.1;tight;0.4274230072463768;0.1
4;Heuristic;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;2;backhaul;tiny_tight_low_strong;0.1;tight;0.8243985355648537;0.1
4;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.7896634615384616;0.1
5;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;5;backhaul;tiny_tight_low_strong;0.1;tight;0.7896634615384616;0.1
5;MILP;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.5703125;0.1
5;MILP;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.8445069204152249;0.1
5;MILP;11;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;13;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;12;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.7896634615384616;0.1
5;MILP;14;backhaul;tiny_tight_low_strong;0.1;tight;0.8907390510948906;0.1
5;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;6;backhaul;tiny_tight_low_strong;0.1;tight;0.7896634615384616;0.1
5;MILP;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.9685019841269842;0.1
5;MILP;19;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;MILP;20;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;5;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.5703125;0.1
5;Heuristic;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.9285893489745249;0.1
5;Heuristic;11;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;13;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;12;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;14;backhaul;tiny_tight_low_strong;0.1;tight;0.8907390510948906;0.1
5;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;6;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
5;Heuristic;10;fronthaul;tiny_tight_low_strong;0.1;tight;8.516451891730814e-5;0.1
5;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.9685019841269842;0.1
5;Heuristic;19;backhaul;tiny_tight_low_strong;0.1;tight;0.08209399274877599;0.1
5;Heuristic;20;backhaul;tiny_tight_low_strong;0.1;tight;8.315049313210152e-5;0.1
6;MILP;1;backhaul;tiny_tight_low_strong;0.1;tight;0.7941964285714286;0.1
6;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.7341533687943262;0.1
6;MILP;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.17087675974919245;0.1
6;MILP;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;13;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;14;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
6;MILP;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
